batch	table	org_resolution	implementation_note
P0.4.P7	public.reminder_rules	patient_org	add nullable organization_id; backfill from patient/platform user membership/enrollment
P0.4.P8	public.saas_org_entitlement_overrides	already_direct_org	already has organization_id NOT NULL from creation (0180); validate org-owned entitlement override lifecycle before enforcement
P0.4.P6	public.specialist_tasks	assignee_or_patient_org	add nullable organization_id; backfill from specialist/member org and validate patient org where present
P0.4.P6	public.support_conversation_messages	parent_denorm_copy	copy organization_id from public.support_conversations; quarantine orphan messages
P0.4.P6	public.support_conversations	patient_org	add nullable organization_id; backfill from patient/platform user membership/enrollment
P0.4.P6	public.support_delivery_events	parent_denorm_copy	copy organization_id from support conversation/question parent; quarantine orphan events
P0.4.P6	public.support_question_messages	parent_denorm_copy	copy organization_id from public.support_questions; quarantine orphan messages
P0.4.P6	public.support_questions	patient_org	add nullable organization_id; backfill from patient/platform user membership/enrollment
P0.4.P4	public.symptom_entries	parent_denorm_copy	copy organization_id from public.symptom_trackings; quarantine orphan entries
P0.4.P4	public.symptom_trackings	patient_org	add nullable organization_id; backfill from patient/platform user membership/enrollment
P0.4.P3	public.test_attempts	user_or_test_org	add nullable organization_id; backfill from patient/user membership and validate test org
P0.4.P3	public.test_results	attempt_parent_denorm	copy organization_id from public.test_attempts; quarantine orphan results
P0.4.P8	public.test_set_items	parent_denorm_copy	copy organization_id from public.test_sets; quarantine orphan child rows
P0.4.P8	public.test_sets	catalog_org	add nullable organization_id; current test set catalog rows single-org backfill
P0.4.P8	public.tests	catalog_org	add nullable organization_id; current test catalog rows single-org backfill
P0.4.P2	public.treatment_program_events	program_parent_denorm	copy organization_id from treatment program instance/template parent; quarantine orphan events
P0.4.P2	public.treatment_program_instance_stage_groups	parent_denorm_copy	copy organization_id from public.treatment_program_instance_stages; quarantine orphan groups
P0.4.P2	public.treatment_program_instance_stage_items	parent_denorm_copy	copy organization_id from public.treatment_program_instance_stage_groups; quarantine orphan items
P0.4.P2	public.treatment_program_instance_stages	parent_denorm_copy	copy organization_id from public.treatment_program_instances; quarantine orphan stages
P0.4.P2	public.treatment_program_instances	patient_org	add nullable organization_id; backfill from patient/platform user membership/enrollment
P0.4.P2	public.treatment_program_template_stage_groups	parent_denorm_copy	copy organization_id from public.treatment_program_template_stages; quarantine orphan groups
P0.4.P2	public.treatment_program_template_stage_items	parent_denorm_copy	copy organization_id from public.treatment_program_template_stage_groups; quarantine orphan items
P0.4.P2	public.treatment_program_template_stages	parent_denorm_copy	copy organization_id from public.treatment_program_templates; quarantine orphan stages
P0.4.P2	public.treatment_program_templates	catalog_org	add nullable organization_id; current program template catalog rows single-org backfill
P0.4.P7	public.webapp_reminder_occurrences	parent_denorm_copy	copy organization_id from public.reminder_rules; quarantine orphan occurrences
